id,project_name,sector,country,budget,year
498,AI Healthcare Platform,Space Research,UK,3246463,2019
499,Clean Water Initiative,Agriculture,Italy,1318491,2024
500,Urban Mobility Project,Space Research,Netherlands,473032,2020
501,Smart City Initiative,Cybersecurity,South Korea,198624,2024
502,Cyber Defense Program,Cybersecurity,Malaysia,218406,2017
503,Solar Grid Expansion,Agriculture,Japan,2793867,2022
504,National Data Hub,AI & ML,China,3369757,2016
505,Climate Monitoring System,Infrastructure,Canada,2952218,2019
506,Smart City Initiative,Infrastructure,Malaysia,4319718,2016
507,Urban Mobility Project,Technology,Russia,866549,2020
508,Renewable Energy Storage,Technology,Spain,2961060,2016
509,AI Healthcare Platform,Energy,Malaysia,4376089,2024
510,Solar Grid Expansion,Energy,France,2724303,2020
511,Cyber Defense Program,Environment,Germany,3194682,2015
512,Clean Water Initiative,Cybersecurity,Singapore,1542142,2019
513,AgriTech Innovation,Space Research,Russia,226765,2020
514,Clean Water Initiative,AI & ML,UK,4172580,2021
515,Climate Monitoring System,Space Research,Singapore,3974156,2018
516,AI Healthcare Platform,Technology,Russia,1963362,2022
517,Solar Grid Expansion,Transport,Brazil,450037,2019
518,Urban Mobility Project,AI & ML,Canada,2308840,2021
519,Renewable Energy Storage,Technology,UK,408477,2017
520,Urban Mobility Project,Healthcare,South Korea,3076715,2025
521,Clean Water Initiative,Biotechnology,South Korea,3198071,2015
522,Cyber Defense Program,Technology,Spain,1969551,2023
523,Digital Education Drive,AI & ML,Russia,599224,2023
524,Climate Monitoring System,Energy,UAE,4236433,2017
525,Clean Water Initiative,Space Research,Thailand,227452,2022
526,National Data Hub,AI & ML,Russia,4693386,2023
527,Green Hydrogen Mission,Transport,France,1859980,2023
528,Clean Water Initiative,Education,UK,3505504,2021
529,Urban Mobility Project,Agriculture,UAE,4801797,2022
530,Renewable Energy Storage,Education,Singapore,1339045,2018
531,Cyber Defense Program,Education,Brazil,2570467,2021
532,Smart City Initiative,AI & ML,Malaysia,3163788,2022
533,Green Hydrogen Mission,Infrastructure,UK,4210862,2020
534,AI Healthcare Platform,AI & ML,China,4006551,2015
535,Smart City Initiative,Education,Netherlands,2167260,2016
536,Climate Monitoring System,AI & ML,Netherlands,4291262,2019
537,Green Hydrogen Mission,Technology,Canada,3596065,2019
538,Green Hydrogen Mission,Agriculture,France,4770482,2021
539,Renewable Energy Storage,AI & ML,Spain,89239,2016
540,AI Healthcare Platform,Transport,Canada,1680922,2017
541,National Data Hub,AI & ML,Australia,221348,2025
542,AI Healthcare Platform,Environment,Russia,2660907,2021
543,Clean Water Initiative,Agriculture,Canada,2936385,2015
544,Green Hydrogen Mission,Agriculture,India,1220811,2016
545,Renewable Energy Storage,Technology,Netherlands,3596772,2024
546,Digital Education Drive,Education,Malaysia,4293100,2021
547,Clean Water Initiative,Education,UK,3805789,2017
548,Renewable Energy Storage,Energy,Russia,3438541,2020
549,AgriTech Innovation,Cybersecurity,India,224954,2017
550,Satellite Communication System,Healthcare,Germany,2531418,2025
551,Solar Grid Expansion,Infrastructure,UK,4517004,2021
552,National Data Hub,Agriculture,Germany,4188694,2022
553,Climate Monitoring System,Cybersecurity,Italy,4797299,2018
554,Satellite Communication System,Space Research,Germany,2096142,2020
555,Urban Mobility Project,AI & ML,Singapore,2336301,2016
556,Clean Water Initiative,Infrastructure,Italy,1075644,2016
557,AI Healthcare Platform,Healthcare,Malaysia,2042140,2015
558,Cyber Defense Program,Energy,Netherlands,3043948,2020
559,AgriTech Innovation,Energy,China,302647,2019
560,National Data Hub,Technology,UK,2382194,2023
561,Urban Mobility Project,Transport,Germany,3350530,2017
562,Cyber Defense Program,Infrastructure,China,1220873,2025
563,National Data Hub,Biotechnology,Malaysia,992087,2024
564,Green Hydrogen Mission,Infrastructure,Russia,3086254,2018
565,Smart City Initiative,Energy,Thailand,3099732,2016
566,Urban Mobility Project,Infrastructure,UK,4686277,2023
567,Clean Water Initiative,Energy,Australia,2874867,2020
568,Renewable Energy Storage,AI & ML,Germany,2163310,2025
569,AI Healthcare Platform,Healthcare,France,2525818,2018
570,Digital Education Drive,Cybersecurity,Australia,1470777,2016
571,Renewable Energy Storage,Space Research,Italy,891786,2017
572,Clean Water Initiative,Biotechnology,Spain,1757617,2017
573,Digital Education Drive,Cybersecurity,Canada,4972137,2023
574,Clean Water Initiative,Transport,Spain,957159,2023
575,National Data Hub,Infrastructure,France,4111883,2024
576,AI Healthcare Platform,Healthcare,South Africa,490798,2023
577,Renewable Energy Storage,Environment,Thailand,1942722,2016
578,Climate Monitoring System,Biotechnology,South Korea,2620204,2022
579,AI Healthcare Platform,Education,UK,270375,2018
580,Cyber Defense Program,Space Research,USA,3275803,2023
581,Climate Monitoring System,Education,France,900454,2015
582,Renewable Energy Storage,Environment,Italy,337110,2025
583,AI Healthcare Platform,Biotechnology,India,2542678,2016
584,National Data Hub,AI & ML,South Korea,2085642,2023
585,Clean Water Initiative,Infrastructure,Australia,126818,2016
586,Smart City Initiative,Space Research,South Africa,473991,2016
587,Climate Monitoring System,Biotechnology,India,174661,2025
588,Digital Education Drive,Technology,China,773633,2024
589,AgriTech Innovation,Environment,Russia,2804553,2015
590,Smart City Initiative,Biotechnology,Malaysia,1554137,2023
591,Green Hydrogen Mission,Biotechnology,Canada,2519057,2017
592,Clean Water Initiative,Energy,India,3170717,2021
593,Cyber Defense Program,Space Research,UK,3761630,2022
594,Green Hydrogen Mission,Environment,UAE,3556072,2022
595,AI Healthcare Platform,Cybersecurity,Canada,4861337,2017
596,Smart City Initiative,Biotechnology,Spain,3130437,2020
597,Renewable Energy Storage,Healthcare,Germany,1591945,2018
598,Satellite Communication System,AI & ML,Australia,4339965,2022
599,AI Healthcare Platform,Infrastructure,UK,3249945,2020
600,National Data Hub,Energy,China,2425355,2024
601,Cyber Defense Program,Agriculture,Japan,1659170,2015
602,Climate Monitoring System,Technology,South Korea,3353336,2015
603,Clean Water Initiative,Infrastructure,Netherlands,1472736,2022
604,Urban Mobility Project,Space Research,India,4057285,2021
605,National Data Hub,Transport,Japan,1848940,2015
606,Urban Mobility Project,Environment,Brazil,3840114,2021
607,Urban Mobility Project,Agriculture,Netherlands,2062552,2015
608,Climate Monitoring System,Education,China,1161942,2016
609,Green Hydrogen Mission,Agriculture,UAE,3272847,2025
610,Clean Water Initiative,Space Research,Australia,547867,2021
611,Satellite Communication System,Space Research,Singapore,4804242,2022
612,AI Healthcare Platform,Energy,Singapore,3386276,2024
613,Clean Water Initiative,Environment,USA,434902,2016
614,AgriTech Innovation,Transport,India,3683891,2019
615,National Data Hub,Transport,France,1602744,2018
616,Digital Education Drive,Space Research,Spain,4951687,2021
617,Renewable Energy Storage,Agriculture,Australia,3068858,2025
618,Climate Monitoring System,Technology,UAE,3018581,2019
619,Cyber Defense Program,Energy,South Korea,2344153,2025
620,AI Healthcare Platform,Energy,Brazil,52313,2023
621,Green Hydrogen Mission,Energy,Russia,4378728,2023
622,Smart City Initiative,Cybersecurity,UK,3977345,2024
623,Cyber Defense Program,AI & ML,Spain,3102366,2016
624,Green Hydrogen Mission,Healthcare,Japan,375459,2022
625,Renewable Energy Storage,Education,Brazil,4617623,2024
626,Climate Monitoring System,Energy,Japan,1078657,2016
627,Green Hydrogen Mission,Cybersecurity,Thailand,3225161,2024
628,AgriTech Innovation,Biotechnology,Netherlands,4330930,2017
629,Urban Mobility Project,AI & ML,Canada,2914271,2023
630,Clean Water Initiative,Healthcare,Japan,221206,2024
631,Satellite Communication System,Cybersecurity,USA,2540941,2018
632,Clean Water Initiative,Environment,Spain,2088828,2022
633,Solar Grid Expansion,Space Research,Germany,751819,2019
634,AI Healthcare Platform,Education,Australia,1089980,2022
635,Satellite Communication System,Space Research,UK,1488392,2021
636,Green Hydrogen Mission,Energy,South Africa,1848447,2015
637,Solar Grid Expansion,Agriculture,South Africa,2431023,2025
638,Satellite Communication System,Infrastructure,Singapore,4071619,2020
639,Renewable Energy Storage,AI & ML,Canada,2086182,2015
640,Cyber Defense Program,Biotechnology,USA,1843910,2025
641,AI Healthcare Platform,Transport,Singapore,86766,2021
642,Digital Education Drive,Space Research,Australia,1710782,2017
643,AI Healthcare Platform,AI & ML,Germany,4197387,2021
644,National Data Hub,Space Research,Thailand,2552099,2021
645,National Data Hub,Infrastructure,UAE,927288,2021
646,Renewable Energy Storage,Education,Japan,4986062,2016
647,National Data Hub,Agriculture,South Korea,3831271,2018
648,AgriTech Innovation,Space Research,Russia,1544684,2020
649,Smart City Initiative,Education,Australia,160085,2024
650,Climate Monitoring System,Space Research,UK,410938,2016
651,Green Hydrogen Mission,Biotechnology,South Africa,446541,2015
652,Smart City Initiative,Technology,Japan,2511849,2023
653,AI Healthcare Platform,Environment,India,225839,2018
654,AgriTech Innovation,Agriculture,Brazil,2252853,2015
655,AgriTech Innovation,AI & ML,Spain,4567516,2018
656,National Data Hub,Technology,Malaysia,345217,2020
657,Cyber Defense Program,Agriculture,Canada,3196447,2018
658,Climate Monitoring System,Cybersecurity,UK,4295799,2018
659,Solar Grid Expansion,Cybersecurity,Netherlands,982937,2016
660,Climate Monitoring System,Biotechnology,UAE,1791998,2023
661,Digital Education Drive,Space Research,Germany,983788,2020
662,AgriTech Innovation,AI & ML,Italy,4149972,2022
663,Cyber Defense Program,Technology,South Africa,2343324,2022
664,Renewable Energy Storage,Space Research,Netherlands,2885033,2022
665,Clean Water Initiative,Biotechnology,Singapore,3486858,2018
666,Climate Monitoring System,Transport,Netherlands,1894228,2024
667,Smart City Initiative,Space Research,France,617653,2017
668,Cyber Defense Program,AI & ML,Canada,2327895,2024
669,Climate Monitoring System,Environment,Brazil,1861999,2017
670,Smart City Initiative,Environment,Spain,999255,2019
671,Urban Mobility Project,Infrastructure,Germany,370014,2025
672,Digital Education Drive,Space Research,Malaysia,3882173,2015
673,Solar Grid Expansion,Environment,Italy,4987082,2017
674,Climate Monitoring System,Cybersecurity,Japan,1758460,2016
675,AgriTech Innovation,Agriculture,Japan,1422783,2015
676,Renewable Energy Storage,Space Research,UAE,257095,2025
677,Climate Monitoring System,Healthcare,Spain,3334841,2021
678,AgriTech Innovation,Biotechnology,Japan,621684,2019
679,AgriTech Innovation,AI & ML,Brazil,1496661,2021
680,AgriTech Innovation,Biotechnology,USA,4144224,2025
681,Smart City Initiative,Environment,South Africa,3771191,2016
682,Solar Grid Expansion,Space Research,Spain,529815,2024
683,Cyber Defense Program,Healthcare,UAE,223853,2016
684,AI Healthcare Platform,Biotechnology,France,4392081,2024
685,Clean Water Initiative,Transport,USA,1180989,2025
686,National Data Hub,Technology,Canada,161488,2019
687,Digital Education Drive,Biotechnology,Spain,1577660,2016
688,AI Healthcare Platform,Environment,Brazil,856726,2017
689,Renewable Energy Storage,Space Research,India,166126,2016
690,Digital Education Drive,Infrastructure,India,3266685,2020
691,Urban Mobility Project,Agriculture,France,1948290,2025
692,Climate Monitoring System,Biotechnology,South Korea,592198,2023
693,Climate Monitoring System,Infrastructure,Singapore,4511317,2018
694,Smart City Initiative,Biotechnology,UK,1446339,2023
695,Solar Grid Expansion,Energy,Japan,2890793,2024
696,Solar Grid Expansion,Space Research,Australia,4803158,2017
697,Satellite Communication System,Technology,Australia,3855746,2023
698,Clean Water Initiative,Space Research,Spain,889131,2020
699,Cyber Defense Program,Agriculture,Australia,2727965,2021
700,AI Healthcare Platform,Infrastructure,Brazil,2467248,2023
701,AI Healthcare Platform,Energy,Russia,1712832,2024
702,AgriTech Innovation,Transport,Japan,1990775,2025
703,Solar Grid Expansion,Healthcare,Spain,4838317,2020
704,Solar Grid Expansion,Space Research,Germany,331245,2024
705,Green Hydrogen Mission,Biotechnology,Germany,769216,2022
706,Renewable Energy Storage,Cybersecurity,Thailand,2258808,2025
707,Digital Education Drive,Transport,USA,4996858,2025
708,Digital Education Drive,Agriculture,China,296306,2021
709,Smart City Initiative,Biotechnology,Malaysia,3674606,2020
710,Digital Education Drive,Agriculture,UAE,2139023,2018
711,Renewable Energy Storage,Environment,China,3191511,2015
712,Urban Mobility Project,Environment,Russia,3385056,2015
713,Clean Water Initiative,Energy,Russia,3006456,2025
714,Smart City Initiative,Education,UK,486508,2022
715,Cyber Defense Program,Transport,India,3276751,2016
716,Renewable Energy Storage,Infrastructure,Spain,3391577,2018
717,Cyber Defense Program,Healthcare,Italy,363278,2020
718,Renewable Energy Storage,Biotechnology,Singapore,3806014,2018
719,National Data Hub,Infrastructure,Germany,1607834,2018
720,National Data Hub,Education,South Africa,4497387,2018
721,Renewable Energy Storage,Agriculture,South Korea,1165674,2022
722,Urban Mobility Project,Healthcare,Germany,491339,2020
723,Cyber Defense Program,Education,Russia,3063441,2015
724,AgriTech Innovation,Cybersecurity,Brazil,2897819,2021
725,Clean Water Initiative,Energy,Thailand,3416401,2024
726,National Data Hub,AI & ML,Spain,2723263,2025
727,National Data Hub,Infrastructure,Thailand,1420769,2023
728,National Data Hub,Infrastructure,India,4769448,2015
729,Climate Monitoring System,Healthcare,Russia,2914652,2019
730,Clean Water Initiative,Cybersecurity,Russia,4665446,2025
731,Solar Grid Expansion,Agriculture,Malaysia,4210307,2025
732,Cyber Defense Program,Environment,India,1067042,2015
733,Solar Grid Expansion,Biotechnology,India,2355676,2020
734,Digital Education Drive,Healthcare,Australia,2987527,2015
735,AI Healthcare Platform,Education,Germany,4282778,2021
736,Renewable Energy Storage,Cybersecurity,India,4993732,2015
737,Digital Education Drive,Biotechnology,Netherlands,859521,2018
738,Green Hydrogen Mission,Transport,Canada,2931677,2021
739,Urban Mobility Project,Energy,Australia,1882333,2015
740,AgriTech Innovation,Education,South Korea,3020019,2015
741,Climate Monitoring System,Energy,UK,2632340,2018
742,Renewable Energy Storage,Agriculture,China,297644,2022
743,Solar Grid Expansion,Biotechnology,Brazil,3089890,2015
744,Smart City Initiative,Infrastructure,Germany,4627647,2020
745,AgriTech Innovation,Education,USA,3029076,2019
746,Climate Monitoring System,Energy,UK,3991275,2020
747,Renewable Energy Storage,Energy,South Africa,3168695,2020
748,Climate Monitoring System,Infrastructure,Singapore,1109735,2017
749,Satellite Communication System,Education,France,4958139,2017
750,Solar Grid Expansion,Healthcare,UK,684920,2020
751,Digital Education Drive,Infrastructure,UAE,3513013,2015
752,National Data Hub,Biotechnology,Australia,1222352,2016
753,AgriTech Innovation,Infrastructure,Australia,2969259,2025
754,Cyber Defense Program,Transport,India,3811457,2021
755,Digital Education Drive,Healthcare,UK,1440398,2025
756,Green Hydrogen Mission,Infrastructure,Italy,1844262,2022
757,Urban Mobility Project,Space Research,Netherlands,2565137,2022
758,AI Healthcare Platform,Transport,Germany,4932444,2017
759,Climate Monitoring System,Agriculture,Singapore,4080751,2020
760,Clean Water Initiative,Agriculture,USA,2502337,2018
761,Renewable Energy Storage,Infrastructure,South Korea,3256010,2021
762,Clean Water Initiative,Cybersecurity,USA,818756,2022
763,Clean Water Initiative,Transport,UAE,1193640,2019
764,Urban Mobility Project,Space Research,Netherlands,1110395,2025
765,AgriTech Innovation,Technology,UK,775603,2016
766,Digital Education Drive,Space Research,Canada,4421011,2020
767,Solar Grid Expansion,Environment,UAE,2868368,2023
768,Renewable Energy Storage,Technology,Netherlands,3824602,2018
769,Solar Grid Expansion,Environment,Netherlands,3027271,2018
770,National Data Hub,Education,UK,1742636,2022
771,Solar Grid Expansion,Agriculture,South Korea,191665,2020
772,AgriTech Innovation,Transport,Netherlands,631672,2020
773,AgriTech Innovation,Environment,Canada,648022,2025
774,Climate Monitoring System,Biotechnology,UK,2794620,2018
775,Climate Monitoring System,Healthcare,Russia,3193202,2024
776,Urban Mobility Project,Infrastructure,Germany,2127870,2023
777,Climate Monitoring System,Education,China,806071,2019
778,Clean Water Initiative,Technology,India,364308,2022
779,Digital Education Drive,Infrastructure,UAE,4419972,2022
780,Renewable Energy Storage,Space Research,Japan,3408825,2024
781,Green Hydrogen Mission,Biotechnology,UAE,972343,2018
782,Climate Monitoring System,Space Research,Japan,2066185,2017
783,Solar Grid Expansion,Infrastructure,France,1800514,2022
784,Clean Water Initiative,Infrastructure,Australia,1533595,2018
785,Green Hydrogen Mission,Biotechnology,South Africa,1763515,2018
786,Digital Education Drive,Agriculture,France,3629560,2021
787,AI Healthcare Platform,AI & ML,Singapore,2755875,2022
788,Cyber Defense Program,Education,Brazil,4410155,2019
789,Green Hydrogen Mission,Infrastructure,Canada,3757672,2019
790,Climate Monitoring System,Environment,Brazil,2865545,2023
791,Digital Education Drive,Biotechnology,Brazil,4911489,2023
792,Satellite Communication System,Cybersecurity,Brazil,800412,2022
793,Clean Water Initiative,Agriculture,Russia,2859737,2016
794,Smart City Initiative,Biotechnology,South Africa,1816496,2022
795,National Data Hub,Technology,Singapore,1494454,2016
796,Digital Education Drive,Cybersecurity,India,4981073,2020
797,Clean Water Initiative,Education,China,2710501,2017
798,Cyber Defense Program,Education,China,2644381,2025
799,National Data Hub,Technology,China,1021634,2017
800,Satellite Communication System,Cybersecurity,Japan,421040,2023
801,Smart City Initiative,Environment,Italy,4701689,2017
802,National Data Hub,Healthcare,Spain,4363183,2022
803,Climate Monitoring System,Biotechnology,Thailand,693479,2018
804,Green Hydrogen Mission,Space Research,Japan,4269761,2021
805,Urban Mobility Project,Cybersecurity,China,3675343,2016
806,AI Healthcare Platform,Cybersecurity,Russia,4758003,2015
807,AI Healthcare Platform,Technology,UAE,1903497,2018
808,Solar Grid Expansion,Technology,Canada,694532,2022
809,National Data Hub,Education,South Korea,2531815,2015
810,AI Healthcare Platform,Biotechnology,Spain,115114,2019
811,Green Hydrogen Mission,Space Research,South Korea,1672452,2022
812,Digital Education Drive,Transport,Italy,1939163,2020
813,Satellite Communication System,Healthcare,South Africa,574050,2021
814,Solar Grid Expansion,Infrastructure,Germany,3289085,2023
815,National Data Hub,Agriculture,Germany,2715061,2018
816,AgriTech Innovation,Cybersecurity,Brazil,4097832,2015
817,Smart City Initiative,Energy,Netherlands,193496,2024
818,Climate Monitoring System,Agriculture,France,1331065,2021
819,Clean Water Initiative,Agriculture,Malaysia,1072377,2017
820,Digital Education Drive,Environment,China,209987,2019
821,Climate Monitoring System,Energy,USA,448237,2017
822,Digital Education Drive,Healthcare,UAE,3006978,2019
823,Green Hydrogen Mission,Healthcare,Canada,4725550,2025
824,Digital Education Drive,AI & ML,China,2862946,2015
825,National Data Hub,Cybersecurity,UAE,3460695,2018
826,Green Hydrogen Mission,Agriculture,Netherlands,1085029,2020
827,Urban Mobility Project,Education,South Korea,357394,2025
828,National Data Hub,Healthcare,Singapore,4724521,2021
829,Clean Water Initiative,Space Research,Malaysia,3211633,2025
830,Satellite Communication System,Environment,Japan,1949811,2017
831,National Data Hub,Infrastructure,Spain,4265526,2021
832,Climate Monitoring System,Space Research,Australia,3659030,2017
833,AI Healthcare Platform,AI & ML,Brazil,4411493,2025
834,Green Hydrogen Mission,Environment,UK,3630495,2020
835,Solar Grid Expansion,Technology,Brazil,3949265,2019
836,Cyber Defense Program,Education,UAE,1626120,2020
837,Urban Mobility Project,Cybersecurity,China,4869654,2020
838,Green Hydrogen Mission,Space Research,USA,1100351,2023
839,Smart City Initiative,Transport,Malaysia,1089531,2019
840,AI Healthcare Platform,Technology,Australia,4898215,2020
841,Cyber Defense Program,Cybersecurity,France,4110331,2025
842,Climate Monitoring System,Environment,India,3585220,2019
843,Urban Mobility Project,Energy,Singapore,2604953,2015
844,Satellite Communication System,Education,France,4949227,2020
845,Satellite Communication System,Agriculture,India,997140,2020
846,Cyber Defense Program,Healthcare,Germany,4418382,2024
847,Cyber Defense Program,Technology,South Korea,458396,2025
848,Smart City Initiative,Healthcare,South Africa,1383169,2021
849,Cyber Defense Program,Cybersecurity,China,1733307,2023
850,Climate Monitoring System,Cybersecurity,Italy,1920903,2018
851,National Data Hub,Cybersecurity,UAE,2402842,2021
852,AgriTech Innovation,Infrastructure,Thailand,917936,2020
853,Satellite Communication System,Environment,South Africa,194225,2016
854,Digital Education Drive,AI & ML,Netherlands,3904137,2025
855,National Data Hub,Space Research,Australia,1079413,2019
856,Smart City Initiative,Agriculture,Australia,1180663,2023
857,Green Hydrogen Mission,Infrastructure,Russia,1600766,2015
858,Green Hydrogen Mission,Space Research,Germany,322891,2018
859,Solar Grid Expansion,Healthcare,USA,1565596,2025
860,AgriTech Innovation,Technology,Australia,4814850,2015
861,Cyber Defense Program,Environment,China,4351865,2016
862,Climate Monitoring System,Transport,Italy,294508,2025
863,Satellite Communication System,Infrastructure,France,2261120,2020
864,National Data Hub,Agriculture,Germany,3113644,2018
865,AgriTech Innovation,Energy,Russia,184845,2019
866,Renewable Energy Storage,Healthcare,Australia,2536625,2015
867,Clean Water Initiative,Agriculture,South Africa,1412166,2025
868,Climate Monitoring System,Space Research,China,1210984,2023
869,Digital Education Drive,AI & ML,USA,760238,2022
870,Cyber Defense Program,Energy,Australia,1647201,2023
871,Green Hydrogen Mission,Infrastructure,Brazil,4155326,2019
872,Urban Mobility Project,Biotechnology,Russia,4876895,2023
873,Digital Education Drive,Space Research,China,109049,2020
874,Clean Water Initiative,Environment,Canada,4141090,2023
875,Green Hydrogen Mission,Biotechnology,Russia,3141734,2024
876,Satellite Communication System,Healthcare,USA,3860789,2020
877,Renewable Energy Storage,Technology,Italy,4633271,2023
878,National Data Hub,Environment,South Korea,726854,2025
879,AgriTech Innovation,Cybersecurity,China,4422741,2023
880,Urban Mobility Project,Healthcare,USA,338843,2022
881,Urban Mobility Project,Technology,India,2741630,2021
882,Renewable Energy Storage,Environment,USA,3953222,2021
883,National Data Hub,Biotechnology,Malaysia,1248274,2016
884,AI Healthcare Platform,Cybersecurity,UK,603092,2020
885,AgriTech Innovation,Biotechnology,France,1694530,2015
886,Digital Education Drive,Healthcare,Italy,1649712,2020
887,Renewable Energy Storage,AI & ML,USA,1266878,2022
888,Renewable Energy Storage,Environment,India,4472768,2022
889,AgriTech Innovation,Healthcare,Netherlands,3566923,2020
890,Climate Monitoring System,Energy,France,1928076,2025
891,Renewable Energy Storage,Biotechnology,Malaysia,4084959,2018
892,National Data Hub,AI & ML,Canada,585835,2022
893,Urban Mobility Project,Technology,Brazil,322019,2024
894,National Data Hub,Technology,Russia,3483646,2018
895,Clean Water Initiative,Healthcare,South Korea,70058,2018
896,AgriTech Innovation,Environment,Russia,2369750,2023
897,AI Healthcare Platform,Energy,UK,4042597,2020
898,Climate Monitoring System,Agriculture,Spain,1654535,2017
899,Urban Mobility Project,Education,Thailand,363258,2016
900,Renewable Energy Storage,Infrastructure,Canada,2935455,2015
901,National Data Hub,Space Research,UAE,153599,2017
902,Cyber Defense Program,Space Research,Malaysia,655592,2016
903,AgriTech Innovation,Education,Brazil,2131682,2021
904,Renewable Energy Storage,Cybersecurity,Australia,3424060,2016
905,Green Hydrogen Mission,Cybersecurity,Canada,254447,2015
906,Renewable Energy Storage,Energy,Thailand,2071869,2025
907,Clean Water Initiative,Energy,UAE,3008188,2016
908,AI Healthcare Platform,Infrastructure,Spain,2022269,2017
909,Clean Water Initiative,Technology,Russia,2196651,2016
910,Satellite Communication System,Agriculture,Russia,3020978,2018
911,National Data Hub,Agriculture,Brazil,4722989,2018
912,Clean Water Initiative,Agriculture,South Africa,730996,2024
913,Satellite Communication System,Cybersecurity,Italy,926760,2015
914,Satellite Communication System,Education,Malaysia,1666470,2023
915,Satellite Communication System,Agriculture,Malaysia,557343,2025
916,Climate Monitoring System,Space Research,Japan,2728550,2022
917,Green Hydrogen Mission,Transport,Netherlands,4562875,2016
918,National Data Hub,Healthcare,India,87234,2022
919,Climate Monitoring System,Environment,Canada,3380400,2017
920,AI Healthcare Platform,Energy,South Korea,4391974,2020
921,Smart City Initiative,Transport,South Korea,4698029,2020
922,Renewable Energy Storage,Agriculture,Australia,4001451,2021
923,Solar Grid Expansion,Environment,France,3724578,2016
924,Green Hydrogen Mission,Healthcare,Spain,2239406,2019
925,Cyber Defense Program,Infrastructure,Canada,2207752,2025
926,AgriTech Innovation,Agriculture,Spain,651694,2017
927,Green Hydrogen Mission,Healthcare,South Korea,4833064,2018
928,Digital Education Drive,Technology,Germany,345298,2024
929,National Data Hub,Cybersecurity,Brazil,856760,2024
930,Satellite Communication System,Agriculture,Italy,4244294,2025
931,Satellite Communication System,AI & ML,Australia,3602734,2022
932,Satellite Communication System,AI & ML,India,4062654,2019
933,Clean Water Initiative,Cybersecurity,Thailand,2405595,2018
934,Renewable Energy Storage,Healthcare,UK,2850718,2020
935,AI Healthcare Platform,Agriculture,Japan,1152501,2021
936,Cyber Defense Program,Technology,Thailand,3490947,2023
937,Green Hydrogen Mission,AI & ML,Malaysia,3622168,2017
938,Renewable Energy Storage,Cybersecurity,France,621835,2022
939,AI Healthcare Platform,Infrastructure,Italy,3915341,2025
940,Green Hydrogen Mission,Agriculture,UK,1138259,2018
941,Solar Grid Expansion,Space Research,South Korea,3281555,2023
942,Smart City Initiative,Biotechnology,Italy,2981331,2025
943,Digital Education Drive,Environment,Brazil,4075024,2020
944,Satellite Communication System,Healthcare,Netherlands,4515916,2024
945,Urban Mobility Project,Agriculture,Thailand,2261219,2017
946,Digital Education Drive,Space Research,Canada,2221976,2015
947,Satellite Communication System,Healthcare,Malaysia,1647013,2024
948,Climate Monitoring System,Biotechnology,Spain,2764482,2015
949,Solar Grid Expansion,Technology,UK,2301470,2015
950,Digital Education Drive,Technology,South Korea,3513274,2019
951,Clean Water Initiative,Infrastructure,Thailand,2798633,2021
952,National Data Hub,Healthcare,South Africa,4728290,2016
953,Green Hydrogen Mission,Technology,China,1018035,2021
954,Cyber Defense Program,Energy,Japan,2011177,2024
955,Digital Education Drive,Energy,UK,832487,2023
956,Green Hydrogen Mission,Environment,China,2423916,2018
957,Green Hydrogen Mission,Environment,Brazil,837409,2019
958,Digital Education Drive,Cybersecurity,South Korea,3607346,2019
959,Cyber Defense Program,Infrastructure,Thailand,3767052,2022
960,AgriTech Innovation,Space Research,Thailand,1305470,2022
961,Climate Monitoring System,Infrastructure,USA,2283951,2019
962,AI Healthcare Platform,Education,Italy,1520465,2024
963,Digital Education Drive,Biotechnology,Malaysia,499831,2016
964,Cyber Defense Program,Technology,Italy,3567331,2025
965,Solar Grid Expansion,Biotechnology,Spain,1290591,2015
966,Clean Water Initiative,Energy,Australia,685123,2016
967,Clean Water Initiative,Transport,Russia,1363399,2020
968,Digital Education Drive,Agriculture,Australia,3184456,2015
969,Digital Education Drive,Biotechnology,Brazil,4588380,2017
970,Digital Education Drive,Energy,Canada,512658,2017
971,AgriTech Innovation,Agriculture,China,3462838,2021
972,Climate Monitoring System,Environment,Malaysia,1180294,2025
973,National Data Hub,Infrastructure,Australia,4745860,2020
974,Smart City Initiative,Technology,China,4987810,2016
975,Smart City Initiative,Healthcare,South Africa,1564939,2017
976,Urban Mobility Project,Healthcare,Italy,3543070,2018
977,Smart City Initiative,Technology,UAE,423146,2020
978,Digital Education Drive,Cybersecurity,France,4117432,2018
979,Smart City Initiative,Healthcare,India,4559814,2020
980,Clean Water Initiative,AI & ML,Germany,4043052,2024
981,AgriTech Innovation,Healthcare,Spain,774458,2015
982,National Data Hub,Technology,Japan,2984166,2019
983,Climate Monitoring System,Infrastructure,Australia,426577,2022
984,AI Healthcare Platform,Infrastructure,France,3565634,2025
985,AgriTech Innovation,Education,Australia,456585,2018
986,Climate Monitoring System,Cybersecurity,Russia,4505193,2016
987,Smart City Initiative,Space Research,South Africa,551640,2022
988,Digital Education Drive,Technology,Singapore,4108433,2021
989,Green Hydrogen Mission,Space Research,Spain,60165,2024
990,Green Hydrogen Mission,Energy,Thailand,2371234,2025
991,Renewable Energy Storage,Transport,Spain,1564366,2024
992,Digital Education Drive,Transport,Singapore,2855477,2019
993,National Data Hub,Transport,UAE,2858586,2022
994,AI Healthcare Platform,Biotechnology,India,3614456,2022
